sample_id,drag_model,fe_model,NK,hK_star,phi,Debar,Wiebar,phibar,Wics,Wisc,theta,tilde_eta_p0,U,Hv,dataset
A1,c2d2,fenepm,2700,0.01,0.13,15.0497864427288,0.72022696,0.0329590717732096,0.54105098,0.54017022,0.22,3,0.252165224645081,0.1418,anna
A1,constant,fenepm,2700,0.01,0.13,13.9079190307805,0.666666666666667,0.0329590717732096,0.5,0.5,0.22,3,0.252165224645081,0.1418,anna
A2,c2d2,fenepm,8760,0.01,0.23,58.2994622701778,0.46521724,0.0122752825581636,0.44120908,0.34891293,0.22,3,0.280074398576929,0.1418,anna
A2,constant,fenepm,8760,0.01,0.23,66.0678405237918,0.666666666666667,0.0122752825581636,0.5,0.5,0.22,3,0.280074398576929,0.1418,anna
A3,c2d2,fenepm,27000,0.01,0.4,219.434223579413,0.285229413333333,0.0049631128392227,0.38607773,0.21392206,0.22,3,0.297787193686661,0.1418,anna
A3,constant,fenepm,27000,0.01,0.4,284.183995253252,0.666666666666667,0.0049631128392227,0.5,0.5,0.22,3,0.297787193686661,0.1418,anna
