dataset,sample_id,source_kind,drag_model,De_bar,Wi_e_bar,Debar,Wiebar,phibar,hK_star
anna,A1,model,c2d2,0.0006644612558493433,1.271030523489429,,,,
anna,A1,model,c2d2,0.00199338376754803,1.2966891575400066,,,,
anna,A1,model,c2d2,0.006644612558493434,1.2714483362300129,,,,
anna,A1,model,c2d2,0.0199338376754803,1.271220755190836,,,,
anna,A1,model,c2d2,0.06644612558493433,1.2718995551069068,,,,
anna,A1,model,c2d2,0.199338376754803,1.299658457661735,,,,
anna,A1,model,c2d2,0.6644612558493433,1.7202968908578486,,,,
anna,A1,model,c2d2,1.99338376754803,3.084693747093277,,,,
anna,A1,model,c2d2,6.644612558493433,8.16493400913512,,,,
anna,A1,model,c2d2,0.0007190148272986322,1.2811808699999994,,,,
anna,A1,model,c2d2,0.0021570444818958963,1.2808630049999994,,,,
anna,A1,model,c2d2,0.007190148272986321,1.2817775399999995,,,,
anna,A1,model,c2d2,0.021570444818958964,1.2814565099999995,,,,
anna,A1,model,c2d2,0.07190148272986321,1.2823810199999994,,,,
anna,A1,model,c2d2,0.21570444818958964,1.3083675899999994,,,,
anna,A1,model,c2d2,0.7190148272986321,1.6214255999999994,,,,
anna,A1,model,c2d2,2.1570444818958965,2.9401838999999987,,,,
anna,A1,model,c2d2,7.190148272986321,7.622332799999997,,,,
anna,A2,model,c2d2,0.00017152816871032013,1.0131954912075056,,,,
anna,A2,model,c2d2,0.0005145845061309604,1.013243017391187,,,,
anna,A2,model,c2d2,0.0017152816871032013,1.0131079837024097,,,,
anna,A2,model,c2d2,0.005145845061309604,1.0131548005400661,,,,
anna,A2,model,c2d2,0.01715281687103201,1.0130219808707004,,,,
anna,A2,model,c2d2,0.051458450613096035,1.0105728239993859,,,,
anna,A2,model,c2d2,0.17152816871032012,1.0320882992212412,,,,
anna,A2,model,c2d2,0.5145845061309604,1.2458820098756445,,,,
anna,A2,model,c2d2,1.7152816871032013,2.268143373190555,,,,
anna,A2,model,c2d2,5.145845061309604,5.008311600834054,,,,
anna,A2,model,c2d2,0.00015135957102153027,1.0739544149999996,,,,
anna,A2,model,c2d2,0.00045407871306459073,1.0740141149999995,,,,
anna,A2,model,c2d2,0.0015135957102153028,1.0738477649999996,,,,
anna,A2,model,c2d2,0.004540787130645907,1.0739042849999996,,,,
anna,A2,model,c2d2,0.015135957102153026,1.0737487499999996,,,,
anna,A2,model,c2d2,0.045407871306459076,1.0728814799999995,,,,
anna,A2,model,c2d2,0.15135957102153025,1.1060928149999996,,,,
anna,A2,model,c2d2,0.4540787130645908,1.2992407499999994,,,,
anna,A2,model,c2d2,1.5135957102153026,2.2658666999999992,,,,
anna,A2,model,c2d2,4.540787130645907,4.880401349999998,,,,
anna,A3,model,c2d2,4.557174280693281e-5,0.9877570363710981,,,,
anna,A3,model,c2d2,0.00013671522842079842,0.9877536706593057,,,,
anna,A3,model,c2d2,0.00045571742806932815,0.987763732735185,,,,
anna,A3,model,c2d2,0.0013671522842079844,0.9877600514879121,,,,
anna,A3,model,c2d2,0.004557174280693281,0.9877710251107353,,,,
anna,A3,model,c2d2,0.013671522842079844,0.987766993268484,,,,
anna,A3,model,c2d2,0.04557174280693281,1.0279148162653269,,,,
anna,A3,model,c2d2,0.13671522842079845,0.9899364399351811,,,,
anna,A3,model,c2d2,0.45571742806932813,1.1445350470166578,,,,
anna,A3,model,c2d2,1.3671522842079844,1.768583660796836,,,,
anna,A3,model,c2d2,3.5188470030088956e-5,1.0292392199999996,,,,
anna,A3,model,c2d2,0.00010556541009026685,1.0292409899999995,,,,
anna,A3,model,c2d2,0.00035188470030088955,1.0292361449999994,,,,
anna,A3,model,c2d2,0.0010556541009026687,1.0292377799999994,,,,
anna,A3,model,c2d2,0.003518847003008895,1.0292332799999995,,,,
anna,A3,model,c2d2,0.010556541009026687,1.0292351549999994,,,,
anna,A3,model,c2d2,0.03518847003008895,1.0296639599999995,,,,
anna,A3,model,c2d2,0.10556541009026686,1.0499602649999995,,,,
anna,A3,model,c2d2,0.35188470030088953,1.2131188349999995,,,,
anna,A3,model,c2d2,1.0556541009026685,1.8089582999999991,,,,
anna,A1,experiment,,0.3495244141834253,1.0736195417719159,,,,
anna,A2,experiment,,0.8696096453876054,1.6031292333752487,,,,
anna,A3,experiment,,1.189861145747858,2.3834307740521585,,,,
