sample_id,De,Wi_e,Debar,Wiebar,phibar,Wics,Wisc,theta,tilde_eta_p0,U,Hv,De_bar,Wi_e_bar,source_kind,dataset
A1,5.26026778998044,0.77324973876698,15.0497864427288,0.72022696,0.0329590717732096,0.54105098,0.54017022,0.22,3,0.252165224645081,0.1418,0.349524414183424,1.07361954177192,experiment,anna
A2,50.6977747110574,0.745803357314149,58.2994622701778,0.46521724,0.0122752825581636,0.44120908,0.34891293,0.22,3,0.280074398576929,0.1418,0.869609645387606,1.60312923337525,experiment,anna
A3,261.096256684492,0.679824561403509,219.434223579413,0.285229413333333,0.0049631128392227,0.38607773,0.21392206,0.22,3,0.297787193686661,0.1418,1.18986114574786,2.38343077405216,experiment,anna
