dataset,sample_id,NK_plan,phi_plan,NK_expt,phi_expt,hK_star,fe_model,has_c2d2,has_constant,n_expt_points,n_model_points_c2d2
clasen,C1,,,,,,,true,false,1,14
clasen,C2,,,,,,,true,false,1,14
clasen,C3,,,,,,,true,false,1,16
clasen,C4,,,,,,,true,false,1,18
clasen,C5,,,,,,,true,false,1,18
clasen,C6,,,,,,,true,false,1,18
