dataset,sample_id,source_kind,drag_model,De_bar,Wi_e_bar,Debar,Wiebar,phibar,hK_star
clasen,C1,model,c2d2,0.002923150637724069,0.9091199218926308,,,,
clasen,C1,model,c2d2,0.008769451913172207,0.908163302298,,,,
clasen,C1,model,c2d2,0.02923150637724069,0.9109055158667265,,,,
clasen,C1,model,c2d2,0.08769451913172206,0.909946396889916,,,,
clasen,C1,model,c2d2,0.2923150637724069,0.9126958056497663,,,,
clasen,C1,model,c2d2,0.8769451913172207,0.9846135460421067,,,,
clasen,C1,model,c2d2,2.923150637724069,1.77029346328661,,,,
clasen,C1,model,c2d2,0.0028359999999999965,1.2843756648450773,,,,
clasen,C1,model,c2d2,0.00850799999999999,1.2829855216139219,,,,
clasen,C1,model,c2d2,0.02835999999999997,1.2869706022352525,,,,
clasen,C1,model,c2d2,0.08507999999999989,1.2855767812432206,,,,
clasen,C1,model,c2d2,0.28359999999999963,1.28957229058375,,,,
clasen,C1,model,c2d2,0.850799999999999,1.3940730949831044,,,,
clasen,C1,model,c2d2,2.8359999999999967,2.5345696155374777,,,,
clasen,C2,model,c2d2,0.0029350860999641875,1.0435380941870815,,,,
clasen,C2,model,c2d2,0.008805258299892562,1.042506451567083,,,,
clasen,C2,model,c2d2,0.029350860999641876,1.045463800678786,,,,
clasen,C2,model,c2d2,0.08805258299892561,1.044429420601526,,,,
clasen,C2,model,c2d2,0.2935086099964187,1.0473945861006304,,,,
clasen,C2,model,c2d2,0.8805258299892562,1.1249825783036314,,,,
clasen,C2,model,c2d2,2.9350860999641872,1.9742049373576844,,,,
clasen,C2,model,c2d2,0.0028359999999999965,1.5014431284413365,,,,
clasen,C2,model,c2d2,0.00850799999999999,1.4999048306112124,,,,
clasen,C2,model,c2d2,0.02835999999999997,1.5043144458675954,,,,
clasen,C2,model,c2d2,0.08507999999999989,1.502772145586775,,,,
clasen,C2,model,c2d2,0.28359999999999963,1.507193361166361,,,,
clasen,C2,model,c2d2,0.850799999999999,1.6228508899972944,,,,
clasen,C2,model,c2d2,2.8359999999999967,2.886409311069465,,,,
clasen,C3,model,c2d2,0.0017160807568325524,1.2211856622974901,,,,
clasen,C3,model,c2d2,0.005148242270497656,1.220562182485118,,,,
clasen,C3,model,c2d2,0.017160807568325522,1.179867832076218,,,,
clasen,C3,model,c2d2,0.05148242270497656,1.221724452152781,,,,
clasen,C3,model,c2d2,0.17160807568325523,1.1809018494988144,,,,
