sample_id,De,Wi_e,Debar,Wiebar,phibar,Wics,Wisc,theta,tilde_eta_p0,U,Hv,De_bar,Wi_e_bar,source_kind,dataset
C1,10.8367020743308,2.07015959860731,3.42096636107193,0.792195773799199,0.00906636009588024,0.48509303,0.19360572,0.22,3,0.315381713271493,0.1418,3.16773125794059,2.61319192436394,experiment,clasen
C2,10.854227799582,1.72260629504192,3.40705507757405,0.580830985832068,0.00906636009588024,0.48312041,0.19036151,0.22,3,0.315381713271493,0.1418,3.18580931403979,2.96576170531639,experiment,clasen
C3,11.0361457499022,0.848541821697771,5.82723159162827,0.230015466666667,0.00906636009588024,0.46822165,0.1725116,0.22,3,0.315381713271493,0.1418,1.89389173510064,3.68906419205044,experiment,clasen
C4,11.6325786161918,0.383995760227133,17.313902269208,0.205169906666667,0.00906636009588024,0.44517847,0.15387743,0.22,3,0.315381713271493,0.1418,0.671863479146454,1.8715988444202,experiment,clasen
C5,13.7360211457862,0.144835343778299,50.6523332974189,0.178753146666667,0.00906636009588024,0.40699462,0.13406486,0.22,3,0.315381713271493,0.1418,0.271182396773934,0.810253394019313,experiment,clasen
C6,23.2512678803985,0.0791684688665352,141.215326300193,0.151737453333333,0.00906636009588024,0.35597611,0.11380309,0.22,3,0.315381713271493,0.1418,0.1646511642155,0.521746392386194,experiment,clasen
