sample_id,De,Wi_e,Debar,Wiebar,phibar,Wics,Wisc,theta,tilde_eta_p0,U,Hv,De_bar,Wi_e_bar,source_kind,dataset
G1,8.90404797808746,1.13092695500296,15.7541079411916,0.641494626666667,0.0049476024768039,0.5526305,0.48112097,0.22,3,0.276024257356413,0.1418,0.565188966035101,1.7629562399914,experiment,gaillard
G1,10.8445160966239,1.23762866242438,15.7541079411916,0.641494626666667,0.0049476024768039,0.5526305,0.48112097,0.22,3,0.276024257356413,0.1418,0.688361165043767,1.92928921143945,experiment,gaillard
G1,13.2002331420112,1.41759045171639,15.7541079411916,0.641494626666667,0.0049476024768039,0.5526305,0.48112097,0.22,3,0.276024257356413,0.1418,0.837891500508072,2.20982435828414,experiment,gaillard
G1,15.6515705544174,1.55142180942979,15.7541079411916,0.641494626666667,0.0049476024768039,0.5526305,0.48112097,0.22,3,0.276024257356413,0.1418,0.993491387315807,2.41844864311847,experiment,gaillard
G1,18.5390035557397,1.69108015289478,15.7541079411916,0.641494626666667,0.0049476024768039,0.5526305,0.48112097,0.22,3,0.276024257356413,0.1418,1.17677266303771,2.63615638011182,experiment,gaillard
G1,18.6392275056025,2.47240580753605,15.7541079411916,0.641494626666667,0.0049476024768039,0.5526305,0.48112097,0.22,3,0.276024257356413,0.1418,1.18313442913942,3.85413330799536,experiment,gaillard
G1,22.2001093149823,2.75321779846649,15.7541079411916,0.641494626666667,0.0049476024768039,0.5526305,0.48112097,0.22,3,0.276024257356413,0.1418,1.40916320986583,4.29187975084492,experiment,gaillard
G1,24.0934131974026,2.07756438359226,15.7541079411916,0.641494626666667,0.0049476024768039,0.5526305,0.48112097,0.22,3,0.276024257356413,0.1418,1.52934163504152,3.23863099896518,experiment,gaillard
G1,29.8077034976505,3.19740720063337,15.7541079411916,0.641494626666667,0.0049476024768039,0.5526305,0.48112097,0.22,3,0.276024257356413,0.1418,1.89205911302115,4.98430862507413,experiment,gaillard
G1,30.2243357429893,3.02184815642218,15.7541079411916,0.641494626666667,0.0049476024768039,0.5526305,0.48112097,0.22,3,0.276024257356413,0.1418,1.91850505632014,4.71063673927295,experiment,gaillard
G1,35.8444670106227,3.43715358806571,15.7541079411916,0.641494626666667,0.0049476024768039,0.5526305,0.48112097,0.22,3,0.276024257356413,0.1418,2.27524574189959,5.35803956133794,experiment,gaillard
G1,39.0266501024019,2.66668641118857,15.7541079411916,0.641494626666667,0.0049476024768039,0.5526305,0.48112097,0.22,3,0.276024257356413,0.1418,2.47723642925923,4.1569894747914,experiment,gaillard
G1,42.9247685125798,3.3862899339633,15.7541079411916,0.641494626666667,0.0049476024768039,0.5526305,0.48112097,0.22,3,0.276024257356413,0.1418,2.72467147443786,5.27875027037893,experiment,gaillard
G1,49.9577774611922,4.13640024639141,15.7541079411916,0.641494626666667,0.0049476024768039,0.5526305,0.48112097,0.22,3,0.276024257356413,0.1418,3.17109528814194,6.44806686516606,experiment,gaillard
G1,54.4756876534123,3.66681367596366,15.7541079411916,0.641494626666667,0.0049476024768039,0.5526305,0.48112097,0.22,3,0.276024257356413,0.1418,3.45787193135683,5.71604737364232,experiment,gaillard
G1,55.2016952350514,4.87073922933808,15.7541079411916,0.641494626666667,0.0049476024768039,0.5526305,0.48112097,0.22,3,0.276024257356413,0.1418,3.50395563119876,7.59279817299079,experiment,gaillard
G1,58.8123815536805,6.08484892608143,15.7541079411916,0.641494626666667,0.0049476024768039,0.5526305,0.48112097,0.22,3,0.276024257356413,0.1418,3.73314577843575,9.48542462109077,experiment,gaillard
G1,76.9572156370837,6.26403000042997,15.7541079411916,0.641494626666667,0.0049476024768039,0.5526305,0.48112097,0.22,3,0.276024257356413,0.1418,4.88489833409525,9.76474274302049,experiment,gaillard
G1,89.7344947478903,4.24211493831139,15.7541079411916,0.641494626666667,0.0049476024768039,0.5526305,0.48112097,0.22,3,0.276024257356413,0.1418,5.69594261273691,6.61286121811224,experiment,gaillard
G1,93.3949972540332,5.86774425637334,15.7541079411916,0.641494626666667,0.0049476024768039,0.5526305,0.48112097,0.22,3,0.276024257356413,0.1418,5.92829486776824,9.14698894184556,experiment,gaillard
G1,98.3241469008214,7.19052195130681,15.7541079411916,0.641494626666667,0.0049476024768039,0.5526305,0.48112097,0.22,3,0.276024257356413,0.1418,6.24117514415001,11.2090135324596,experiment,gaillard
