dataset,sample_id,source_kind,drag_model,De_bar,Wi_e_bar,Debar,Wiebar,phibar,hK_star
gaillard,G1,model,c2d2,0.0006347550770458684,1.3112306401859801,,,,
gaillard,G1,model,c2d2,0.0019042652311376048,1.3107573080840764,,,,
gaillard,G1,model,c2d2,0.006347550770458683,1.31211431087695,,,,
gaillard,G1,model,c2d2,0.019042652311376047,1.3116396381558668,,,,
gaillard,G1,model,c2d2,0.06347550770458683,1.2805050671559788,,,,
gaillard,G1,model,c2d2,0.1904265231137605,1.3125247429975868,,,,
gaillard,G1,model,c2d2,0.6347550770458683,1.746627256758315,,,,
gaillard,G1,model,c2d2,1.904265231137605,3.1200906707516807,,,,
gaillard,G1,model,c2d2,6.347550770458683,8.220684758346737,,,,
gaillard,G1,model,c2d2,0.0007015700312107934,1.2743463599999993,,,,
gaillard,G1,model,c2d2,0.0021047100936323797,1.2739824749999995,,,,
gaillard,G1,model,c2d2,0.007015700312107934,1.2750258449999994,,,,
gaillard,G1,model,c2d2,0.0210471009363238,1.2746608349999995,,,,
gaillard,G1,model,c2d2,0.07015700312107934,1.2757074449999994,,,,
gaillard,G1,model,c2d2,0.21047100936323798,1.3033245299999994,,,,
gaillard,G1,model,c2d2,0.7015700312107933,1.619102849999999,,,,
gaillard,G1,model,c2d2,2.10471009363238,2.9218757999999987,,,,
gaillard,G1,model,c2d2,7.015700312107933,7.537490099999996,,,,
gaillard,G1,experiment,,0.5651889660351014,1.762956239991409,,,,
gaillard,G1,experiment,,0.6883611650437663,1.9292892114394524,,,,
gaillard,G1,experiment,,0.8378915005080744,2.2098243582841377,,,,
gaillard,G1,experiment,,0.9934913873158061,2.4184486431184697,,,,
gaillard,G1,experiment,,1.176772663037718,2.6361563801118133,,,,
gaillard,G1,experiment,,1.1831344291394181,3.854133307995361,,,,
gaillard,G1,experiment,,1.4091632098658289,4.29187975084492,,,,
gaillard,G1,experiment,,1.5293416350415228,3.238630998965175,,,,
gaillard,G1,experiment,,1.8920591130211541,4.984308625074118,,,,
gaillard,G1,experiment,,1.9185050563201365,4.71063673927294,,,,
gaillard,G1,experiment,,2.2752457418995897,5.358039561337933,,,,
gaillard,G1,experiment,,2.4772364292592264,4.156989474791395,,,,
gaillard,G1,experiment,,2.7246714744378653,5.278750270378931,,,,
gaillard,G1,experiment,,3.17109528814194,6.448066865166063,,,,
gaillard,G1,experiment,,3.4578719313568382,5.716047373642316,,,,
gaillard,G1,experiment,,3.5039556311987594,7.5927981729907925,,,,
gaillard,G1,experiment,,3.733145778435747,9.485424621090763,,,,
gaillard,G1,experiment,,4.884898334095257,9.76474274302048,,,,
gaillard,G1,experiment,,5.695942612736917,6.612861218112237,,,,
gaillard,G1,experiment,,5.92829486776825,9.146988941845546,,,,
gaillard,G1,experiment,,6.2411751441500165,11.20901353245963,,,,
