sample_id,drag_model,fe_model,NK,hK_star,phi,Debar,Wiebar,phibar,Wics,Wisc,theta,tilde_eta_p0,U,Hv,dataset
VC1,c2d2,fenepm,9300,0.015,0.09,26.1919068602925,0.39667376,0.0111395536213939,0.45969378,0.29750532,0.22,3,0.295088978907861,0.1418,calabrese
VC1,constant,fenepm,9300,0.015,0.09,28.4884286016362,0.666666666666667,0.0111395536213939,0.5,0.5,0.22,3,0.295088978907861,0.1418,calabrese
VC2,c2d2,fenepm,9300,0.015,0.22,58.5458086616408,0.352115453333333,0.0111395536213939,0.4203559,0.26408659,0.22,3,0.295088978907861,0.1418,calabrese
VC2,constant,fenepm,9300,0.015,0.22,69.6383810262218,0.666666666666667,0.0111395536213939,0.5,0.5,0.22,3,0.295088978907861,0.1418,calabrese
VC3,c2d2,fenepm,21800,0.015,0.03,17.6765631725962,0.320800693333333,0.00569249604037367,0.475615,0.24060052,0.22,3,0.304816085839751,0.1418,calabrese
VC3,constant,fenepm,21800,0.015,0.03,18.5828487038846,0.666666666666667,0.00569249604037367,0.5,0.5,0.22,3,0.304816085839751,0.1418,calabrese
VC4,c2d2,fenepm,21800,0.015,0.07,39.1512724379518,0.29284556,0.00569249604037367,0.45146783,0.21963417,0.22,3,0.304816085839751,0.1418,calabrese
VC4,constant,fenepm,21800,0.015,0.07,43.3599803090642,0.666666666666667,0.00569249604037367,0.5,0.5,0.22,3,0.304816085839751,0.1418,calabrese
