sample_id,De,Wi_e,Debar,Wiebar,phibar,Wics,Wisc,theta,tilde_eta_p0,U,Hv,De_bar,Wi_e_bar,source_kind,dataset
VC1,12.5605007124366,0.570249733659009,26.1919068602925,0.39667376,0.0111395536213939,0.45969378,0.29750532,0.22,3,0.295088978907861,0.1418,0.479556558422197,1.43757866327989,experiment,calabrese
VC1,16.7473342832488,0.570249733659009,26.1919068602925,0.39667376,0.0111395536213939,0.45969378,0.29750532,0.22,3,0.295088978907861,0.1418,0.639408744562929,1.43757866327989,experiment,calabrese
VC1,25.1210014248732,0.641530950366385,26.1919068602925,0.39667376,0.0111395536213939,0.45969378,0.29750532,0.22,3,0.295088978907861,0.1418,0.959113116844393,1.61727599618988,experiment,calabrese
VC2,12.5605007124366,0.366589114495078,58.5458086616408,0.352115453333333,0.0111395536213939,0.4203559,0.26408659,0.22,3,0.295088978907861,0.1418,0.214541416363871,1.04110487348604,experiment,calabrese
VC2,16.7473342832488,0.366589114495078,58.5458086616408,0.352115453333333,0.0111395536213939,0.4203559,0.26408659,0.22,3,0.295088978907861,0.1418,0.286055221818495,1.04110487348604,experiment,calabrese
VC2,25.1210014248732,0.366589114495078,58.5458086616408,0.352115453333333,0.0111395536213939,0.4203559,0.26408659,0.22,3,0.295088978907861,0.1418,0.429082832727743,1.04110487348604,experiment,calabrese
VC3,45.3351868804122,0.788257653377106,17.6765631725962,0.320800693333333,0.00569249604037367,0.475615,0.24060052,0.22,3,0.304816085839751,0.1418,2.56470595769968,2.45715695058693,experiment,calabrese
VC3,60.4469158405496,0.771835618931749,17.6765631725962,0.320800693333333,0.00569249604037367,0.475615,0.24060052,0.22,3,0.304816085839751,0.1418,3.41960794359958,2.40596618078303,experiment,calabrese
VC3,90.6703737608244,0.823291326860533,17.6765631725962,0.320800693333333,0.00569249604037367,0.475615,0.24060052,0.22,3,0.304816085839751,0.1418,5.12941191539936,2.56636392616857,experiment,calabrese
VC4,45.3351868804122,0.48114428193148,39.1512724379518,0.29284556,0.00569249604037367,0.45146783,0.21963417,0.22,3,0.304816085839751,0.1418,1.15794925828428,1.6429966769224,experiment,calabrese
VC4,60.4469158405496,0.474975765496461,39.1512724379518,0.29284556,0.00569249604037367,0.45146783,0.21963417,0.22,3,0.304816085839751,0.1418,1.54393234437904,1.62193261696186,experiment,calabrese
VC4,90.6703737608244,0.544825142775352,39.1512724379518,0.29284556,0.00569249604037367,0.45146783,0.21963417,0.22,3,0.304816085839751,0.1418,2.31589851656857,1.86045211945625,experiment,calabrese
