dataset,sample_id,source_kind,drag_model,De_bar,Wi_e_bar,Debar,Wiebar,phibar,hK_star
calabrese,VC1,model,c2d2,0.0003817973259197946,1.0044228284724455,,,,
calabrese,VC1,model,c2d2,0.0011453919777593838,1.00437402262252,,,,
calabrese,VC1,model,c2d2,0.003817973259197946,1.0045146167470216,,,,
calabrese,VC1,model,c2d2,0.011453919777593836,1.0044652058658985,,,,
calabrese,VC1,model,c2d2,0.03817973259197946,1.004607564664726,,,,
calabrese,VC1,model,c2d2,0.11453919777593838,1.0089833267519386,,,,
calabrese,VC1,model,c2d2,0.3817973259197946,1.135416191885241,,,,
calabrese,VC1,model,c2d2,1.1453919777593837,1.6691738571263197,,,,
calabrese,VC1,model,c2d2,3.817973259197946,3.9083023792650167,,,,
calabrese,VC1,model,c2d2,0.0003510197118919245,1.1293489349999994,,,,
calabrese,VC1,model,c2d2,0.0010530591356757734,1.1292823499999995,,,,
calabrese,VC1,model,c2d2,0.0035101971189192447,1.1294783249999996,,,,
calabrese,VC1,model,c2d2,0.010530591356757733,1.1294080199999994,,,,
calabrese,VC1,model,c2d2,0.03510197118919245,1.1296163099999996,,,,
calabrese,VC1,model,c2d2,0.10530591356757735,1.1377123049999995,,,,
calabrese,VC1,model,c2d2,0.3510197118919245,1.2769605899999994,,,,
calabrese,VC1,model,c2d2,1.0530591356757735,1.8502039499999994,,,,
calabrese,VC1,model,c2d2,3.5101971189192445,4.235806499999998,,,,
calabrese,VC2,model,c2d2,0.00017080642028183306,1.0186502370302115,,,,
calabrese,VC2,model,c2d2,0.0005124192608454991,1.0187743440513215,,,,
calabrese,VC2,model,c2d2,0.0017080642028183305,1.018420028445974,,,,
calabrese,VC2,model,c2d2,0.005124192608454992,1.01854345387246,,,,
calabrese,VC2,model,c2d2,0.017080642028183306,1.0181912966500883,,,,
calabrese,VC2,model,c2d2,0.051241926084549916,1.0103502604959997,,,,
calabrese,VC2,model,c2d2,0.17080642028183304,0.9923556796276565,,,,
calabrese,VC2,model,c2d2,0.5124192608454992,1.1479461244132096,,,,
calabrese,VC2,model,c2d2,1.7080642028183306,2.003739379572437,,,,
calabrese,VC2,model,c2d2,0.00014359897304669643,1.0717289849999996,,,,
calabrese,VC2,model,c2d2,0.0004307969191400893,1.0717915949999997,,,,
calabrese,VC2,model,c2d2,0.0014359897304669644,1.0716168149999994,,,,
calabrese,VC2,model,c2d2,0.0043079691914008926,1.0716763199999995,,,,
calabrese,VC2,model,c2d2,0.014359897304669644,1.0715121449999996,,,,
calabrese,VC2,model,c2d2,0.043079691914008934,1.0703765549999995,,,,
calabrese,VC2,model,c2d2,0.14359897304669644,1.0999685099999996,,,,
calabrese,VC2,model,c2d2,0.43079691914008933,1.2795084599999995,,,,
